iter	Passed	Remaining
382	464	748
383	465	746
384	466	745
385	467	743
386	468	742
387	470	741
388	471	740
389	472	738
390	473	737
391	474	735
392	475	734
393	476	733
394	477	731
395	478	730
396	479	728
397	480	727
398	481	725
399	482	724
400	484	723
401	485	721
402	486	720
403	487	718
404	488	717
405	489	716
406	490	714
407	491	713
408	492	712
409	493	710
410	494	709
411	496	708
412	497	706
413	498	705
414	499	703
415	500	702
416	501	701
417	502	700
418	503	698
419	504	697
420	505	695
421	507	694
422	508	693
423	509	691
424	510	690
425	511	688
426	512	687
427	513	686
428	514	685
429	515	683
430	516	682
431	517	680
432	518	679
433	520	678
434	521	676
435	522	675
436	523	674
437	524	672
438	525	671
439	526	669
440	527	668
441	528	667
442	529	666
443	530	664
444	531	663
445	532	661
446	534	660
447	535	659
448	536	658
449	537	656
450	538	655
451	539	654
452	540	652
453	541	651
454	542	650
455	544	649
456	545	647
457	546	646
458	547	645
459	548	643
460	549	642
461	550	640
462	551	639
463	552	638
464	553	636
465	554	635
466	555	634
467	556	632
468	557	631
469	558	630
470	559	628
471	561	627
472	562	626
473	563	625
474	564	623
475	565	622
476	566	621
477	567	620
478	568	618
479	569	617
480	571	616
481	572	615
482	573	613
483	574	612
484	575	611
485	576	609
486	577	608
487	578	607
488	579	606
489	581	604
490	582	603
491	583	602
492	584	600
493	585	599
494	586	597
495	587	596
496	588	595
497	589	593
498	590	592
499	591	591
500	592	590
501	593	588
502	594	587
503	595	586
504	596	584
505	597	583
506	599	582
507	600	581
508	601	580
509	602	578
510	603	577
511	604	576
512	605	574
513	606	573
514	607	572
515	608	571
516	610	569
517	611	568
518	612	567
519	613	566
520	614	564
521	615	563
522	616	562
523	617	561
524	618	559
525	619	558
526	621	557
527	622	556
528	623	554
529	624	553
530	625	552
531	626	551
532	627	549
533	628	548
534	629	547
535	630	546
536	631	544
537	632	543
538	633	542
539	635	540
540	636	539
541	637	538
542	638	537
543	639	535
544	640	534
545	641	533
546	642	532
547	643	531
548	644	529
549	646	528
550	647	527
551	648	526
552	649	524
553	650	523
554	651	522
555	652	521
556	653	519
557	654	518
558	655	517
559	656	515
560	657	514
561	658	513
562	659	512
563	661	510
564	661	509
565	663	508
566	664	507
567	665	506
568	666	504
569	667	503
570	668	502
571	669	500
572	670	499
573	671	498
574	672	497
575	673	495
576	674	494
577	675	493
578	676	492
579	677	490
580	678	489
581	680	488
582	681	487
583	682	486
584	683	484
585	684	483
586	685	482
587	686	481
588	687	479
589	688	478
590	689	477
591	691	476
592	692	475
593	693	473
594	694	472
595	695	471
596	696	470
597	697	469
598	698	467
599	699	466
600	700	465
601	702	464
602	703	462
603	704	461
604	705	460
605	706	459
606	707	458
607	708	456
608	709	455
609	710	454
610	711	453
611	712	452
612	714	450
613	715	449
614	716	448
615	717	447
616	718	445
617	719	444
618	720	443
619	721	442
620	722	440
621	723	439
622	724	438
623	725	437
624	726	436
625	727	434
626	729	433
627	730	432
628	731	431
629	732	430
630	733	428
631	734	427
632	735	426
633	736	425
634	737	423
635	738	422
636	739	421
637	740	420
638	742	419
639	743	418
640	744	416
641	745	415
642	746	414
643	747	413
644	748	412
645	749	410
646	750	409
647	751	408
648	753	407
649	754	406
650	755	404
651	756	403
652	757	402
653	758	401
654	759	400
655	760	398
656	761	397
657	762	396
658	763	395
659	764	394
660	765	392
661	767	391
662	768	390
663	769	389
664	770	388
665	771	386
666	772	385
667	773	384
668	774	383
669	775	382
670	776	380
671	777	379
672	778	378
673	779	376
674	779	375
675	780	374
676	781	372
677	782	371
678	783	370
679	785	369
680	786	368
681	787	367
682	788	365
683	790	365
684	791	363
685	792	362
686	793	361
687	795	360
688	796	359
689	797	358
690	798	357
691	799	355
692	801	354
693	802	353
694	803	352
695	804	351
696	805	350
697	806	349
698	807	347
699	809	346
700	810	345
701	811	344
702	812	343
703	814	342
704	815	341
705	816	340
706	817	338
707	819	337
708	820	336
709	821	335
710	822	334
711	823	333
712	825	332
713	826	331
714	827	329
715	828	328
716	830	327
717	831	326
718	832	325
719	833	324
720	835	323
721	836	322
722	837	320
723	838	319
724	840	318
725	841	317
726	842	316
727	843	315
728	844	314
729	846	312
730	847	311
731	848	310
732	850	309
733	851	308
734	852	307
735	853	306
736	854	305
737	856	303
738	857	302
739	859	301
740	860	300
741	861	299
742	862	298
743	864	297
744	865	296
745	867	295
746	868	294
747	869	292
748	870	291
749	872	290
750	873	289
751	874	288
752	876	287
753	877	286
754	878	285
755	880	284
756	881	282
757	882	281
758	883	280
759	885	279
760	886	278
761	887	277
762	889	276
763	890	275
764	891	273
765	893	272
766	894	271
767	895	270
768	896	269
769	898	268
770	899	267
771	900	265
772	901	264
773	902	263
774	903	262
775	904	261
776	906	260
777	907	258
778	908	257
779	909	256
780	910	255
781	911	254
782	912	252
783	913	251
784	914	250
785	916	249
786	917	248
787	918	247
788	919	245
789	920	244
790	921	243
791	922	242
792	923	241
793	924	239
794	925	238
795	926	237
796	927	236
797	928	235
798	929	233
799	930	232
800	931	231
801	932	230
802	933	229
803	934	227
804	936	226
805	937	225
806	938	224
807	939	223
808	940	221
809	941	220
810	942	219
811	943	218
812	944	217
813	945	216
814	946	214
815	947	213
816	948	212
817	949	211
818	950	210
819	951	208
820	952	207
821	953	206
822	954	205
823	955	204
824	956	202
825	957	201
826	958	200
827	959	199
828	960	198
829	961	196
830	962	195
831	963	194
832	964	193
833	965	192
834	966	191
835	967	189
836	969	188
837	970	187
838	971	186
839	972	185
840	973	184
841	974	182
842	975	181
843	976	180
844	977	179
845	978	178
846	979	176
847	980	175
848	981	174
849	982	173
850	983	172
851	985	171
852	986	169
853	987	168
854	988	167
855	989	166
856	990	165
857	991	164
858	992	162
859	993	161
860	994	160
861	995	159
862	996	158
863	997	157
864	998	155
865	999	154
866	1000	153
867	1001	152
868	1002	151
869	1003	149
870	1004	148
871	1005	147
872	1006	146
873	1008	145
874	1009	144
875	1010	143
876	1011	141
877	1012	140
878	1013	139
879	1014	138
880	1015	137
881	1016	136
882	1017	134
883	1018	133
884	1020	132
885	1021	131
886	1022	130
887	1023	129
888	1024	127
889	1025	126
890	1026	125
891	1027	124
892	1028	123
893	1029	122
894	1030	120
895	1031	119
896	1032	118
897	1033	117
898	1034	116
899	1035	115
900	1036	113
901	1037	112
902	1039	111
903	1039	110
904	1041	109
905	1042	108
906	1043	106
907	1044	105
908	1045	104
909	1046	103
910	1047	102
911	1048	101
912	1049	99
913	1050	98
914	1051	97
915	1052	96
916	1053	95
917	1054	94
918	1055	93
919	1056	91
920	1057	90
921	1058	89
922	1060	88
923	1061	87
924	1062	86
925	1063	84
926	1064	83
927	1065	82
928	1066	81
929	1067	80
930	1068	79
931	1069	78
932	1070	76
933	1071	75
934	1072	74
935	1073	73
936	1075	72
937	1076	71
938	1077	69
939	1078	68
940	1079	67
941	1080	66
942	1081	65
943	1082	64
944	1083	63
945	1084	61
946	1085	60
947	1086	59
948	1087	58
949	1088	57
950	1089	56
951	1090	54
952	1091	53
953	1092	52
954	1093	51
955	1094	50
956	1095	49
957	1096	48
958	1097	46
959	1098	45
960	1099	44
961	1100	43
962	1102	42
963	1103	41
964	1104	40
965	1105	38
966	1106	37
967	1107	36
968	1108	35
969	1109	34
970	1110	33
971	1111	32
972	1112	30
973	1113	29
974	1114	28
975	1115	27
976	1116	26
977	1117	25
978	1118	24
979	1119	22
980	1120	21
981	1121	20
982	1122	19
983	1123	18
984	1124	17
985	1126	15
986	1127	14
987	1128	13
988	1129	12
989	1130	11
990	1131	10
991	1132	9
992	1133	7
993	1134	6
994	1135	5
995	1136	4
996	1137	3
997	1138	2
998	1139	1
999	1140	0
