iter	RMSE
703	111253.7334
704	111219.4164
705	111174.0903
706	111147.8196
707	111115.4099
708	111094.3593
709	111072.1976
710	111062.2936
711	111039.0345
712	111008.0526
713	110976.0631
714	110956.3096
715	110918.1065
716	110865.4192
717	110846.9414
718	110803.6445
719	110772.3381
720	110750.4343
721	110732.3025
722	110688.6593
723	110677.3785
724	110647.777
725	110619.9737
726	110578.3858
727	110553.1359
728	110539.3437
729	110491.7152
730	110467.8268
731	110419.4464
732	110379.8136
733	110351.7562
734	110330.3535
735	110308.0283
736	110282.0369
737	110233.7957
738	110177.1446
739	110157.4223
740	110128.0385
741	110099.3733
742	110084.8048
743	110062.7261
744	110029.0447
745	110015.6765
746	109992.0739
747	109953.7733
748	109943.4804
749	109914.8397
750	109889.8749
751	109859.3063
752	109829.386
753	109796.0766
754	109778.3334
755	109737.3213
756	109704.7135
757	109697.3729
758	109673.1097
759	109651.4279
760	109620.978
761	109590.6413
762	109550.2643
763	109528.2009
764	109507.5357
765	109481.7061
766	109470.4361
767	109448.6329
768	109418.0156
769	109408.805
770	109370.4916
771	109330.0417
772	109315.8822
773	109263.2426
774	109241.9743
775	109225.7814
776	109190.9187
777	109156.6986
778	109136.6269
779	109127.6872
780	109109.6253
781	109101.1393
782	109075.9163
783	109043.9821
784	109027.7356
785	109018.2884
786	108996.7111
787	108969.2939
788	108933.2686
789	108922.022
790	108885.096
791	108876.3092
792	108864.9322
793	108844.5819
794	108809.1214
795	108789.5978
796	108781.9916
797	108756.9135
798	108727.6375
799	108717.4402
800	108656.0816
801	108637.9694
802	108622.3826
803	108618.814
804	108595.9908
805	108592.563
806	108557.9309
807	108509.1483
808	108470.3328
809	108435.1736
810	108407.192
811	108387.438
812	108361.4934
813	108334.928
814	108316.803
815	108297.5522
816	108290.1159
817	108268.5293
818	108262.2115
819	108254.1675
820	108232.6845
821	108218.7061
822	108183.0687
823	108149.2201
824	108128.3917
825	108112.7289
826	108106.2984
827	108071.9472
828	108066.5043
829	108049.3179
830	108015.5546
831	107989.2459
832	107967.5806
833	107953.2556
834	107928.209
835	107903.4475
836	107884.3944
837	107851.4682
838	107833.7128
839	107804.4907
840	107782.3337
841	107751.411
842	107733.3272
843	107724.2241
844	107690.6272
845	107675.5292
846	107646.8814
847	107613.692
848	107561.4493
849	107537.931
850	107522.1271
851	107495.3275
852	107479.1584
853	107455.75
854	107412.8469
855	107385.5039
856	107363.1567
857	107334.979
858	107304.666
859	107270.6806
860	107251.9909
861	107237.3347
862	107218.086
863	107198.3457
864	107183.5991
865	107176.6855
866	107159.656
867	107148.3573
868	107136.0983
869	107111.6857
870	107090.729
871	107061.7859
872	107035.9256
873	107026.5804
874	107019.0117
875	106971.628
876	106938.6579
877	106906.3148
878	106874.968
879	106837.4207
880	106822.7553
881	106799.9498
882	106789.2975
883	106763.7454
884	106749.667
885	106713.4303
886	106682.1579
887	106657.809
888	106638.6852
889	106613.5496
890	106586.1166
891	106562.5659
892	106542.611
893	106477.6626
894	106442.0232
895	106380.8864
896	106364.1638
897	106341.4201
898	106326.672
899	106292.874
900	106276.706
901	106265.3586
902	106216.8902
903	106209.8143
904	106198.7374
905	106167.3789
906	106125.8478
907	106112.6545
908	106076.6747
909	106063.4159
910	106012.5445
911	105992.4123
912	105957.6513
913	105917.5286
914	105901.9858
915	105881.2037
916	105874.2695
917	105847.8087
918	105835.6854
919	105820.6011
920	105810.8932
921	105790.1909
922	105770.5996
923	105739.8756
924	105727.5036
925	105710.5259
926	105690.5007
927	105671.9454
928	105650.8704
929	105637.2562
930	105608.5964
931	105581.8837
932	105567.3085
933	105554.2991
934	105540.4004
935	105508.8308
936	105489.8691
937	105457.2935
938	105440.8989
939	105366.804
940	105352.2324
941	105313.6369
942	105295.524
943	105282.3778
944	105266.6992
945	105230.5846
946	105203.7614
947	105170.7302
948	105155.3237
949	105145.2847
950	105117.2874
951	105108.6019
952	105095.4999
953	105076.3183
954	105046.513
955	105029.5519
956	105012.4765
957	104982.9414
958	104976.9069
959	104973.5187
960	104949.7887
961	104928.3549
962	104911.2318
963	104884.6616
964	104858.9923
965	104844.023
966	104819.8667
967	104794.107
968	104775.285
969	104739.7635
970	104686.5528
971	104662.4236
972	104650.7376
973	104635.9256
974	104605.9047
975	104584.2553
976	104579.1514
977	104561.9244
978	104534.5124
979	104515.0767
980	104503.0286
981	104485.1829
982	104457.7202
983	104432.0442
984	104401.7621
985	104371.4699
986	104349.4225
987	104319.5852
988	104284.511
989	104236.4594
990	104218.6589
991	104210.6761
992	104193.2333
993	104175.5963
994	104160.226
995	104136.9545
996	104124.0929
997	104098.401
998	104076.0295
999	104058.552
