url,address,price,State of the property,Availability,Number of bedrooms,postal_code,city,Surface bedroom 1,Livable surface,Furnished,Kitchen equipment,Kitchen type,Number of showers,Number of toilets,Type of heating,Type of glazing,Entry phone,Elevator,Access for disabled,Floor of appartment,Number of facades,Number of floors,Garden,Terrace,Surface terrace,Swimming pool,Specific primary energy consumption,Validity date EPC/PEB,CO2 emission,Certification - Electrical installation,Flooding Area type,Demarcated flooding area
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc75855,Rue du Wäschbour 22-24 B006,179000,Normal,,1,6700,arlon,12 m²,47 m²,No,Super equipped,,1,1,Gas,,Yes,Yes,,0,2,4,,,,No,200 kWh/m²/year,18/04/2034,47,"yes, certificate in accordance",possible flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc72563,Rue des Blancs Prés B34 B34,430000,New,,3,6700,arlon,,118 m²,No,Super equipped,,,2,Gas,,,Yes,,3,2,3,Yes,Yes,20 m²,,74 kWh/m²/year,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc73643,Rue des Blancs Prés B26 B26,329000,New,,2,6700,arlon,,95 m²,No,Super equipped,,,1,Gas,,,Yes,,2,2,3,Yes,Yes,14 m²,,74 kWh/m²/year,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc79220,Avenue Du Général Patton 180,310000,Normal,On contract,2,6700,arlon,13 m²,110 m²,No,Fully equipped,Western kitchen,,1,Gas,Double glass,Yes,Yes,Yes,2,2,3,No,Yes,,No,103 kWh/m²/year,31/03/2035,19,"No, certificate does not comply",no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc72561,Rue des Blancs Prés A32 A32,295000,New,,2,6700,arlon,,77 m²,No,Super equipped,,,2,Gas,,,Yes,,3,2,3,Yes,Yes,25 m²,,74 kWh/m²/year,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc72556,Rue des Blancs Prés B1.9 B.1.9,299000,New,,2,6700,arlon,,84 m²,No,Super equipped,,,1,Gas,,,Yes,,1,2,3,Yes,Yes,11 m²,,74 kWh/m²/year,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc35028,Rue des Faubourgs 40 E,189000,To renovate,Immediately,2,6700,arlon,14 m²,88 m²,No,Partially equipped,Kitchenette,,1,Gas,Double glass,,No,No,4,,5,No,Yes,4 m²,No,294 kWh/m²/year,20/04/2033,55,,no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc72554,Rue des Blancs Prés B1.7 B1.7,220000,New,,1,6700,arlon,,56 m²,No,Super equipped,,,1,Gas,,,Yes,,1,2,3,Yes,Yes,9 m²,,74 kWh/m²/year,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc72557,Rue des Blancs Prés A25 A25,299000,New,,2,6700,arlon,,81 m²,No,Super equipped,,,1,Gas,,,Yes,,2,2,3,Yes,Yes,12 m²,,74 kWh/m²/year,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc72560,Rue des Blancs Prés A31 A31,460000,New,,3,6700,arlon,,114 m²,No,Super equipped,,,2,Gas,,,Yes,,3,2,3,Yes,Yes,37 m²,,74 kWh/m²/year,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc75854,Rue du Wäschbour 22-24 A103,195000,Normal,Immediately,1,6700,arlon,13 m²,61 m²,No,Super equipped,,1,1,Gas,,Yes,Yes,Yes,1,2,4,,,,No,108 kWh/m²/year,14/03/2033,21,"yes, certificate in accordance",possible flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc83183,Rue du Wäschbour 24 A301,290000,Normal,Immediately,2,6700,arlon,14 m²,90 m²,No,,,1,1,Gas,Double glass,Yes,Yes,Yes,3,2,3,,Yes,,No,114 kWh/m²/year,10/03/2033,28,"yes, certificate in accordance",possible flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/9100/sint-niklaas/rbt63901,Lavendelstraat 105,349000,Normal,,2,9100,sint-niklaas,,126 m²,,,,,,Gas,Double glass,Yes,Yes,No,2,,6,,Yes,6 m²,,151 kWh/m²/year,23/10/2030,,Not applicable,no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc72558,Rue des Blancs Prés B28 B28,239000,New,,1,6700,arlon,,65 m²,No,Super equipped,,,1,Gas,,,Yes,,2,2,3,Yes,Yes,9 m²,,74 kWh/m²/year,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc72553,Rue des Blancs Prés A1.3 A1.3,155000,New,,1,6700,arlon,,38 m²,No,Super equipped,,,1,Gas,,,Yes,,1,2,3,Yes,Yes,6 m²,,74 kWh/m²/year,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/9100/sint-niklaas/rbt36768,Kongostraat 117,315000,Fully renovated,,2,9100,sint-niklaas,,127 m²,No,,,,,Gas,Double glass,,No,No,,,2,No,Yes,17 m²,,206 kWh/m²/year,12/03/2034,,No certificate,no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/9100/sint-niklaas/rbt63815,Antwerpsesteenweg 71 4,185000,Normal,,2,9100,sint-niklaas,,85 m²,No,,,,,Gas,Double glass,,No,No,2,,,No,Yes,4 m²,,119 kWh/m²/year,12/11/2034,,No certificate,no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/9100/sint-niklaas/rbu02968,Koklenberghof 11 202,285000,Excellent,Immediately,2,9100,sint-niklaas,,89 m²,No,,,,1,,,,No,,2,2,,No,Yes,8 m²,,65 kWh/m²/year,01/04/2029,,Not applicable,no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/9100/sint-niklaas/rbt44127,Mercatorstraat 106 2,250000,Normal,On contract,4,9100,sint-niklaas,,160 m²,No,,,1,2,,,,Yes,,1,2,4,No,Yes,10 m²,,356 kWh/m²/year,,,"yes, certificate in accordance",no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/9100/sint-niklaas/rbt87280,Hofstraat 51A 2.01,305000,Normal,On contract,2,9100,sint-niklaas,,120 m²,No,,,,1,Gas,,,Yes,,2,2,2,No,Yes,37 m²,,164 kWh/m²/year,,,"yes, certificate in accordance",actual flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/9100/sint-niklaas/rbt95794,Plezantstraat 49,284000,Fully renovated,,3,9100,sint-niklaas,,135 m²,,,,,,Gas,Double glass,Yes,Yes,No,5,,,No,No,,,178 kWh/m²/year,18/05/2030,,No certificate,no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/9100/sint-niklaas/rbt78851,Schoolstraat 239 2,259000,Normal,On contract,3,9100,sint-niklaas,,100 m²,No,,,1,1,,,,No,,2,2,2,No,Yes,15 m²,,58 kWh/m²/year,,,"yes, certificate in accordance",no flooding area,(information not available)
https://immovlan.be/en/detail/loft/for-sale/9100/sint-niklaas/rbt89898,Oosterlaan 9,899000,Normal,On contract,6,9100,sint-niklaas,,460 m²,No,,,,4,,,,No,,,2,,,Yes,150 m²,,983 kWh/m²/year,,,Not applicable,no flooding area,(information not available)
